time,temperature,humidity
1575000854.754605,13.00,50.00
1575000855.80515,13.00,50.00
1575000856.830512,13.00,50.00
1575000857.894347,13.00,50.00
1575000858.919649,13.00,50.00
1575000859.979763,13.00,50.00
1575000861.004836,13.00,50.00
1575000862.068693,13.00,50.00
1575000863.092514,13.00,51.00
1575000864.152015,13.00,51.00
1575000865.17765,13.00,51.00
1575000866.241627,13.00,51.00
1575000867.266773,13.00,51.00
1575000868.326746,13.00,51.00
1575000869.351873,13.00,51.00
1575000870.416093,13.00,51.00
1575000871.439509,13.00,51.00
1575000872.500816,13.00,51.00
1575000873.524485,13.00,51.00
1575000874.588481,13.00,51.00
1575000875.613338,13.00,51.00
1575000876.673329,13.00,51.00
1575000877.69604,12.00,50.00
1575000878.75991,12.00,50.00
1575000879.783855,12.00,51.00
1575000880.845185,12.00,51.00
1575000881.868994,12.00,51.00
1575000882.932792,12.00,51.00
1575000883.957991,12.00,51.00
1575000885.018273,12.00,51.00
1575000886.043374,12.00,51.00
1575000887.106299,12.00,51.00
1575000888.132332,12.00,51.00
1575000889.195096,12.00,51.00
1575000890.220474,12.00,51.00
1575000891.280519,12.00,51.00
1575000892.304643,12.00,51.00
1575000893.365612,12.00,51.00
1575000894.393602,12.00,51.00
1575000895.454556,12.00,51.00
1575000896.479007,12.00,52.00
1575000897.539856,12.00,52.00
1575000898.566608,12.00,52.00
1575000899.628215,12.00,52.00
1575000900.651865,12.00,52.00
1575000901.712616,12.00,52.00
1575000902.740634,12.00,52.00
1575000903.801706,12.00,52.00
1575000904.825954,12.00,52.00
1575000905.886958,12.00,52.00
1575000906.913878,12.00,52.00
1575000907.974571,12.00,52.00
1575000909.000157,12.00,52.00
1575000910.059792,12.00,52.00
1575000911.087926,12.00,52.00
1575000912.148688,12.00,52.00
1575000913.173034,12.00,52.00
1575000914.23402,12.00,52.00
1575000915.26083,12.00,53.00
1575000916.321849,12.00,53.00
1575000917.347511,12.00,53.00
1575000918.407085,12.00,53.00
1575000919.435065,12.00,53.00
1575000920.496317,12.00,53.00
1575000921.520308,12.00,53.00
1575000922.581574,12.00,53.00
1575000923.60547,12.00,53.00
1575000924.669147,12.00,53.00
1575000925.694024,12.00,53.00
1575000926.754318,12.00,53.00
1575000927.779483,12.00,53.00
1575000928.843393,12.00,53.00
1575000929.86741,12.00,53.00
1575000930.928361,12.00,53.00
1575000931.952258,12.00,53.00
1575000933.013226,12.00,53.00
1575000934.04114,12.00,53.00
1575000935.102092,12.00,53.00
1575000936.126305,12.00,53.00
1575000937.187369,12.00,53.00
1575000938.215221,12.00,54.00
1575000939.275147,12.00,54.00
1575000940.300216,11.00,53.00
1575000941.361117,11.00,53.00
1575000942.387991,11.00,53.00
1575000943.44901,11.00,53.00
1575000944.474172,11.00,53.00
1575000945.534121,11.00,53.00
1575000946.561905,11.00,53.00
1575000947.622643,11.00,53.00
1575000948.647264,11.00,53.00
1575000949.708008,11.00,53.00
1575000950.735766,11.00,53.00
1575000951.796877,11.00,53.00
1575000952.820752,11.00,53.00
1575000953.881932,11.00,53.00
1575000954.909567,11.00,53.00
1575000955.969476,11.00,53.00
1575000956.994799,11.00,53.00
1575000958.060339,11.00,53.00
1575000959.082766,11.00,53.00
1575000960.1434,11.00,53.00
1575000961.167796,11.00,54.00
1575000962.228674,11.00,54.00
1575000963.256501,11.00,54.00
1575000964.317619,11.00,54.00
1575000965.341715,11.00,54.00
1575000966.402728,11.00,54.00
1575000967.430559,11.00,54.00
1575000968.490388,11.00,54.00
1575000969.515865,11.00,54.00
1575000970.576946,11.00,54.00
1575000971.603317,11.00,54.00
1575000972.664538,11.00,54.00
1575000973.689994,11.00,54.00
1575000974.752678,11.00,54.00
1575000975.777763,11.00,54.00
1575000976.839175,11.00,54.00
1575000977.86276,11.00,54.00
1575000978.927005,11.00,54.00
1575000979.950596,11.00,54.00
1575000981.011994,11.00,54.00
1575000982.040082,11.00,54.00
1575000983.100218,11.00,54.00
1575000984.125699,11.00,54.00
1575000985.186298,11.00,54.00
1575000986.21277,11.00,54.00
1575000987.273836,11.00,54.00
1575000988.299331,11.00,54.00
1575000989.359062,11.00,54.00
1575000990.386885,11.00,54.00
1575000991.447909,11.00,54.00
1575000992.472095,11.00,54.00
1575000993.532897,11.00,54.00
1575000994.560778,11.00,54.00
1575000995.621752,11.00,54.00
1575000996.646114,11.00,54.00
1575000997.707176,11.00,54.00
1575000998.73464,11.00,54.00
1575000999.794441,11.00,54.00
1575001000.819913,11.00,54.00
1575001001.881264,11.00,54.00
1575001002.90749,11.00,54.00
1575001003.96958,11.00,54.00
1575001004.99425,11.00,54.00
